"Gebieden in Nederland 2015"
""
"";"Onderwerp"
"";"||Code";"Naam";"Sortering naam";"|||Code";"||Omschrijving";"|||Code";"||Omschrijving"
"Regio's";"code";"naam";"naam";"code";"omschrijving";"code";"omschrijving"
"Hardenberg";"GM0160";"Hardenberg";"Hardenberg";"5";"50000tot100000inwoners";"4";"Weinigstedelijk"
"Harderwijk";"GM0243";"Harderwijk";"Harderwijk";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Hardinxveld-Giessendam";"GM0523";"Hardinxveld-Giessendam";"Hardinxveld+Giessendam";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Haren";"GM0017";"Haren";"Haren";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Harlingen";"GM0072";"Harlingen";"Harlingen";"3";"10000tot20000inwoners";"3";"Matigstedelijk"
"Hattem";"GM0244";"Hattem";"Hattem";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Heemskerk";"GM0396";"Heemskerk";"Heemskerk";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Heemstede";"GM0397";"Heemstede";"Heemstede";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Heerde";"GM0246";"Heerde";"Heerde";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Heerenveen";"GM0074";"Heerenveen";"Heerenveen";"5";"50000tot100000inwoners";"3";"Matigstedelijk"
"Heerhugowaard";"GM0398";"Heerhugowaard";"Heerhugowaard";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Heerlen";"GM0917";"Heerlen";"Heerlen";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Heeze-Leende";"GM1658";"Heeze-Leende";"Heeze+Leende";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Heiloo";"GM0399";"Heiloo";"Heiloo";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Den Helder";"GM0400";"DenHelder";"HelderDen";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Hellendoorn";"GM0163";"Hellendoorn";"Hellendoorn";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Hellevoetsluis";"GM0530";"Hellevoetsluis";"Hellevoetsluis";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Helmond";"GM0794";"Helmond";"Helmond";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Hendrik-Ido-Ambacht";"GM0531";"Hendrik-Ido-Ambacht";"Hendrik+Ido+Ambacht";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Hengelo (O.)";"GM0164";"Hengelo";"Hengelo";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"'s-Hertogenbosch";"GM0796";"'s-Hertogenbosch";"Hertogenbosch's-";"7";"150000tot250000inwoners";"2";"Sterkstedelijk"
"Heumen";"GM0252";"Heumen";"Heumen";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Heusden";"GM0797";"Heusden";"Heusden";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Hillegom";"GM0534";"Hillegom";"Hillegom";"4";"20000tot50000inwoners";"2";"Sterkstedelijk"
"Hilvarenbeek";"GM0798";"Hilvarenbeek";"Hilvarenbeek";"3";"10000tot20000inwoners";"4";"Weinigstedelijk"
"Hilversum";"GM0402";"Hilversum";"Hilversum";"5";"50000tot100000inwoners";"1";"Zeersterkstedelijk"
"Hof van Twente";"GM1735";"HofvanTwente";"HofvanTwente";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Hollands Kroon";"GM1911";"HollandsKroon";"HollandsKroon";"4";"20000tot50000inwoners";"5";"Nietstedelijk"
"Hoogeveen";"GM0118";"Hoogeveen";"Hoogeveen";"5";"50000tot100000inwoners";"3";"Matigstedelijk"
"Hoogezand-Sappemeer";"GM0018";"Hoogezand-Sappemeer";"Hoogezand+Sappemeer";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
"Hoorn";"GM0405";"Hoorn";"Hoorn";"5";"50000tot100000inwoners";"2";"Sterkstedelijk"
"Horst aan de Maas";"GM1507";"HorstaandeMaas";"HorstaandeMaas";"4";"20000tot50000inwoners";"4";"Weinigstedelijk"
"Houten";"GM0321";"Houten";"Houten";"4";"20000tot50000inwoners";"3";"Matigstedelijk"
