"Perioden;""Regio's"";""Gemiddelde woningwaarde (1 000 euro)"""
"2017;""Zuid-Limburg (CR)"";165"
"2018**;""Zuid-Limburg (CR)"";173"
"2019*;""Zuid-Limburg (CR)"";183"
"2020*;""Zuid-Limburg (CR)"";198"
"2011;""Flevoland (CR)"";201"
"2012;""Flevoland (CR)"";197"
"2013;""Flevoland (CR)"";191"
"2014;""Flevoland (CR)"";183"
"2015;""Flevoland (CR)"";179"
"2016;""Flevoland (CR)"";180"
"2017;""Flevoland (CR)"";185"
"2018**;""Flevoland (CR)"";194"
"2019*;""Flevoland (CR)"";212"
"2020*;""Flevoland (CR)"";236"
