"ID;""StatusVanBewoning"";""RegioS"";""Perioden"";""TotaleWoningvoorraad_1"";""Koopwoningen_2"";""TotaalHuurwoningen_3"";""EigendomWoningcorporatie_4"";""EigendomOverigeVerhuurders_5"";""EigendomOnbekend_6"""
"266;""T001235"";""CR17  "";""2014JJ00"";""  539078"";""  308395"";""  224440"";""  153103"";""   71337"";""    6243"""
"267;""T001235"";""CR17  "";""2015JJ00"";""  543473"";""  310707"";""  225860"";""  155523"";""   70337"";""    6906"""
"268;""T001235"";""CR17  "";""2016JJ00"";""  548114"";""  313875"";""  227499"";""  153959"";""   73540"";""    6740"""
"269;""T001235"";""CR17  "";""2017JJ00"";""  554305"";""  316916"";""  230281"";""  153801"";""   76480"";""    7108"""
"270;""T001235"";""CR17  "";""2018JJ00"";""  557564"";""  319764"";""  231170"";""  153840"";""   77330"";""    6630"""
"272;""T001235"";""CR18  "";""2012JJ00"";""  159262"";""  103067"";""   55456"";""   43493"";""   11963"";""     739"""
"273;""T001235"";""CR18  "";""2013JJ00"";""  160576"";""  103728"";""   56169"";""   43497"";""   12672"";""     679"""
"274;""T001235"";""CR18  "";""2014JJ00"";""  163383"";""  104263"";""   57495"";""   43075"";""   14420"";""    1625"""
"275;""T001235"";""CR18  "";""2015JJ00"";""  164485"";""  105122"";""   57758"";""   43267"";""   14491"";""    1605"""
"276;""T001235"";""CR18  "";""2016JJ00"";""  165276"";""  105915"";""   57925"";""   43025"";""   14900"";""    1436"""
"277;""T001235"";""CR18  "";""2017JJ00"";""  166185"";""  106492"";""   58141"";""   42912"";""   15229"";""    1552"""
"278;""T001235"";""CR18  "";""2018JJ00"";""  166967"";""  107884"";""   57571"";""   40795"";""   16776"";""    1512"""
"280;""T001235"";""CR19  "";""2012JJ00"";""  102361"";""   66278"";""   35412"";""   25649"";""    9763"";""     671"""
"281;""T001235"";""CR19  "";""2013JJ00"";""  103034"";""   66722"";""   35741"";""   25063"";""   10678"";""     571"""
"282;""T001235"";""CR19  "";""2014JJ00"";""  105025"";""   67111"";""   36628"";""   26134"";""   10494"";""    1286"""
"283;""T001235"";""CR19  "";""2015JJ00"";""  108564"";""   69281"";""   37802"";""   26604"";""   11198"";""    1481"""
"284;""T001235"";""CR19  "";""2016JJ00"";""  109161"";""   69616"";""   38127"";""   26699"";""   11428"";""    1418"""
"285;""T001235"";""CR19  "";""2017JJ00"";""  109926"";""   69837"";""   38710"";""   26722"";""   11988"";""    1379"""
"286;""T001235"";""CR19  "";""2018JJ00"";""  111154"";""   71532"";""   38233"";""   26808"";""   11425"";""    1389"""
"288;""T001235"";""CR20  "";""2012JJ00"";""   85161"";""   50523"";""   34157"";""   27371"";""    6786"";""     481"""
"289;""T001235"";""CR20  "";""2013JJ00"";""   85749"";""   50816"";""   34617"";""   27473"";""    7144"";""     316"""
"290;""T001235"";""CR20  "";""2014JJ00"";""   87217"";""   51035"";""   35807"";""   27262"";""    8545"";""     375"""
"291;""T001235"";""CR20  "";""2015JJ00"";""   87579"";""   51368"";""   35850"";""   27361"";""    8489"";""     361"""
"292;""T001235"";""CR20  "";""2016JJ00"";""   87913"";""   51711"";""   35827"";""   27125"";""    8702"";""     375"""
"293;""T001235"";""CR20  "";""2017JJ00"";""   88711"";""   52201"";""   35958"";""   27238"";""    8720"";""     552"""
"294;""T001235"";""CR20  "";""2018JJ00"";""   88758"";""   53559"";""   34829"";""   27115"";""    7714"";""     370"""
"296;""T001235"";""CR21  "";""2012JJ00"";""  103767"";""   57689"";""   44677"";""   30830"";""   13847"";""    1401"""
"297;""T001235"";""CR21  "";""2013JJ00"";""  104602"";""   58155"";""   45542"";""   30986"";""   14556"";""     905"""
"298;""T001235"";""CR21  "";""2014JJ00"";""  105712"";""   58610"";""   46222"";""   30661"";""   15561"";""     880"""
"299;""T001235"";""CR21  "";""2015JJ00"";""  106849"";""   59214"";""   46862"";""   30857"";""   16005"";""     773"""
"300;""T001235"";""CR21  "";""2016JJ00"";""  107578"";""   59854"";""   46845"";""   30542"";""   16303"";""     879"""
"301;""T001235"";""CR21  "";""2017JJ00"";""  108104"";""   60177"";""   47011"";""   30437"";""   16574"";""     916"""
"302;""T001235"";""CR21  "";""2018JJ00"";""  109131"";""   61369"";""   46745"";""   30279"";""   16466"";""    1017"""
"304;""T001235"";""CR22  "";""2012JJ00"";""   71619"";""   37950"";""   33545"";""   28730"";""    4815"";""     124"""
