"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2016;""Midden-Limburg (CR)"";""Achterhoek (CR)"";71"
"2017;""Midden-Limburg (CR)"";""Achterhoek (CR)"";22"
"2018;""Midden-Limburg (CR)"";""Achterhoek (CR)"";28"
"2019;""Midden-Limburg (CR)"";""Achterhoek (CR)"";26"
"2020;""Midden-Limburg (CR)"";""Achterhoek (CR)"";18"
"2011;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";163"
"2012;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";153"
"2013;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";157"
"2014;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";170"
"2015;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";170"
"2016;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";193"
"2017;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";206"
"2018;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";209"
"2019;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";165"
"2020;""Midden-Limburg (CR)"";""Arnhem/Nijmegen (CR)"";207"
"2011;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";12"
"2012;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";15"
"2013;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";16"
"2014;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";24"
"2015;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";30"
"2016;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";28"
"2017;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";29"
"2018;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";24"
"2019;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";34"
"2020;""Midden-Limburg (CR)"";""Zuidwest-Gelderland (CR)"";37"
"2011;""Midden-Limburg (CR)"";""Utrecht (CR)"";190"
"2012;""Midden-Limburg (CR)"";""Utrecht (CR)"";174"
"2013;""Midden-Limburg (CR)"";""Utrecht (CR)"";144"
"2014;""Midden-Limburg (CR)"";""Utrecht (CR)"";100"
"2015;""Midden-Limburg (CR)"";""Utrecht (CR)"";153"
"2016;""Midden-Limburg (CR)"";""Utrecht (CR)"";187"
"2017;""Midden-Limburg (CR)"";""Utrecht (CR)"";175"
"2018;""Midden-Limburg (CR)"";""Utrecht (CR)"";166"
"2019;""Midden-Limburg (CR)"";""Utrecht (CR)"";143"
"2020;""Midden-Limburg (CR)"";""Utrecht (CR)"";159"
"2011;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";26"
"2012;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";23"
"2013;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";33"
"2014;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";22"
"2015;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";23"
"2016;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";28"
"2017;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";13"
"2018;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";15"
"2019;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";23"
"2020;""Midden-Limburg (CR)"";""Kop van Noord-Holland (CR)"";20"
"2011;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";15"
"2012;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";8"
"2013;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";13"
"2014;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";22"
"2015;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";9"
"2016;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";12"
"2017;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";19"
"2018;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";13"
"2019;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";18"
"2020;""Midden-Limburg (CR)"";""Alkmaar en omgeving (CR)"";13"
"2011;""Midden-Limburg (CR)"";""IJmond (CR)"";4"
"2012;""Midden-Limburg (CR)"";""IJmond (CR)"";12"
"2013;""Midden-Limburg (CR)"";""IJmond (CR)"";10"
"2014;""Midden-Limburg (CR)"";""IJmond (CR)"";3"
"2015;""Midden-Limburg (CR)"";""IJmond (CR)"";5"
"2016;""Midden-Limburg (CR)"";""IJmond (CR)"";10"
"2017;""Midden-Limburg (CR)"";""IJmond (CR)"";6"
"2018;""Midden-Limburg (CR)"";""IJmond (CR)"";11"
"2019;""Midden-Limburg (CR)"";""IJmond (CR)"";9"
"2020;""Midden-Limburg (CR)"";""IJmond (CR)"";14"
"2011;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";6"
"2012;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";15"
"2013;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";22"
"2014;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";4"
"2015;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";25"
"2016;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";25"
"2017;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";23"
"2018;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";24"
"2019;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";14"
"2020;""Midden-Limburg (CR)"";""Agglomeratie Haarlem (CR)"";32"
"2011;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";10"
"2012;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";7"
"2013;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";12"
"2014;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";9"
"2015;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";10"
"2016;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";17"
"2017;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";16"
"2018;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";11"
"2019;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";10"
"2020;""Midden-Limburg (CR)"";""Zaanstreek (CR)"";18"
"2011;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";105"
"2012;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";145"
"2013;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";126"
"2014;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";163"
"2015;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";141"
"2016;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";157"
"2017;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";171"
"2018;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";127"
"2019;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";162"
"2020;""Midden-Limburg (CR)"";""Groot-Amsterdam (CR)"";163"
"2011;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";17"
"2012;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";34"
"2013;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";27"
"2014;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";17"
"2015;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";21"
"2016;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";25"
"2017;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";29"
"2018;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";18"
"2019;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";20"
"2020;""Midden-Limburg (CR)"";""Het Gooi en Vechtstreek (CR)"";23"
"2011;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";49"
"2012;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";47"
"2013;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";36"
"2014;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";25"
"2015;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";41"
"2016;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";39"
"2017;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";26"
"2018;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";39"
"2019;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";28"
"2020;""Midden-Limburg (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";34"
"2011;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";73"
"2012;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";68"
"2013;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";61"
"2014;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";60"
"2015;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";70"
"2016;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";77"
"2017;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";110"
"2018;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";73"
"2019;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";75"
"2020;""Midden-Limburg (CR)"";""Agglomeratie 's-Gravenhage (CR)"";127"
"2011;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";18"
"2012;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";23"
"2013;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";19"
"2014;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";11"
"2015;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";14"
"2016;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";18"
"2017;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";19"
"2018;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";27"
"2019;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";28"
"2020;""Midden-Limburg (CR)"";""Delft en Westland (CR)"";36"
"2011;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";20"
"2012;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";17"
"2013;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";20"
"2014;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";12"
"2015;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";16"
"2016;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";16"
"2017;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";19"
"2018;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";27"
"2019;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";26"
"2020;""Midden-Limburg (CR)"";""Oost-Zuid-Holland (CR)"";14"
"2011;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";103"
"2012;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";122"
"2013;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";104"
"2014;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";125"
"2015;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";130"
"2016;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";117"
"2017;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";137"
"2018;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";134"
"2019;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";123"
"2020;""Midden-Limburg (CR)"";""Groot-Rijnmond (CR)"";131"
"2011;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";51"
"2012;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";23"
"2013;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";21"
"2014;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";24"
"2015;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";25"
"2016;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";31"
"2017;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";46"
"2018;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";23"
"2019;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";20"
"2020;""Midden-Limburg (CR)"";""Zuidoost-Zuid-Holland (CR)"";29"
"2011;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";11"
"2012;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";9"
"2013;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";8"
"2014;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";6"
"2015;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";10"
"2016;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";9"
"2017;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";9"
"2018;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";1"
"2019;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";4"
"2020;""Midden-Limburg (CR)"";""Zeeuwsch-Vlaanderen (CR)"";9"
"2011;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";36"
"2012;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";28"
"2013;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";31"
"2014;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";19"
"2015;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";24"
"2016;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";28"
"2017;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";27"
"2018;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";20"
"2019;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";26"
"2020;""Midden-Limburg (CR)"";""Overig Zeeland (CR)"";46"
"2011;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";108"
"2012;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";113"
"2013;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";119"
"2014;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";116"
"2015;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";91"
"2016;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";109"
"2017;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";123"
"2018;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";98"
"2019;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";98"
"2020;""Midden-Limburg (CR)"";""West-Noord-Brabant (CR)"";101"
"2011;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";158"
"2012;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";175"
"2013;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";168"
"2014;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";164"
"2015;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";151"
"2016;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";618"
"2017;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";223"
"2018;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";222"
"2019;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";200"
"2020;""Midden-Limburg (CR)"";""Midden-Noord-Brabant (CR)"";343"
"2011;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";208"
"2012;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";204"
"2013;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";172"
"2014;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";175"
"2015;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";189"
"2016;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";184"
"2017;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";166"
"2018;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";170"
"2019;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";205"
"2020;""Midden-Limburg (CR)"";""Noordoost-Noord-Brabant (CR)"";183"
"2011;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";684"
"2012;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";621"
"2013;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";674"
"2014;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";634"
"2015;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";766"
"2016;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";1277"
"2017;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";1180"
"2018;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";962"
"2019;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";1052"
"2020;""Midden-Limburg (CR)"";""Zuidoost-Noord-Brabant (CR)"";1672"
"2011;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";703"
"2012;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";763"
"2013;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";696"
"2014;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";799"
"2015;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";804"
"2016;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";810"
"2017;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";871"
"2018;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";803"
"2019;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";927"
"2020;""Midden-Limburg (CR)"";""Noord-Limburg (CR)"";1005"
"2011;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";2925"
"2012;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";3141"
"2013;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";3190"
"2014;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";3196"
"2015;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";3509"
"2016;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";3706"
"2017;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";4114"
"2018;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";4095"
"2019;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";4150"
"2020;""Midden-Limburg (CR)"";""Midden-Limburg (CR)"";4166"
"2011;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1274"
"2012;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1334"
"2013;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1312"
"2014;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1447"
"2015;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1598"
"2016;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1546"
"2017;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1619"
"2018;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1700"
"2019;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1603"
"2020;""Midden-Limburg (CR)"";""Zuid-Limburg (CR)"";1740"
"2011;""Midden-Limburg (CR)"";""Flevoland (CR)"";34"
"2012;""Midden-Limburg (CR)"";""Flevoland (CR)"";51"
"2013;""Midden-Limburg (CR)"";""Flevoland (CR)"";31"
"2014;""Midden-Limburg (CR)"";""Flevoland (CR)"";31"
"2015;""Midden-Limburg (CR)"";""Flevoland (CR)"";43"
"2016;""Midden-Limburg (CR)"";""Flevoland (CR)"";54"
"2017;""Midden-Limburg (CR)"";""Flevoland (CR)"";65"
"2018;""Midden-Limburg (CR)"";""Flevoland (CR)"";33"
"2019;""Midden-Limburg (CR)"";""Flevoland (CR)"";57"
"2020;""Midden-Limburg (CR)"";""Flevoland (CR)"";60"
"2011;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";24"
"2012;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";31"
"2013;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";32"
"2014;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";103"
"2015;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";244"
"2016;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";190"
"2017;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";53"
"2018;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";386"
"2019;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";240"
"2020;""Zuid-Limburg (CR)"";""Oost-Groningen (CR)"";217"
"2011;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";19"
"2012;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";10"
"2013;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";12"
"2014;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";11"
"2015;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";16"
"2016;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";7"
"2017;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";20"
"2018;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";17"
"2019;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";10"
"2020;""Zuid-Limburg (CR)"";""Delfzijl en omgeving (CR)"";5"
"2011;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";93"
"2012;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";103"
"2013;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";109"
"2014;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";123"
"2015;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";108"
"2016;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";101"
"2017;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";124"
"2018;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";91"
"2019;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";110"
"2020;""Zuid-Limburg (CR)"";""Overig Groningen (CR)"";124"
"2011;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";60"
"2012;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";73"
"2013;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";61"
"2014;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";55"
"2015;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";55"
"2016;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";67"
"2017;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";58"
"2018;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";47"
"2019;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";46"
"2020;""Zuid-Limburg (CR)"";""Noord-Friesland (CR)"";45"
"2011;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";10"
"2012;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";10"
"2013;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";15"
"2014;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";12"
"2015;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";13"
"2016;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";12"
"2017;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";14"
"2018;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";32"
"2019;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";13"
"2020;""Zuid-Limburg (CR)"";""Zuidwest-Friesland (CR)"";18"
"2011;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";42"
"2012;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";26"
"2013;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";33"
"2014;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";23"
"2015;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";23"
"2016;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";29"
"2017;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";10"
"2018;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";25"
"2019;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";28"
"2020;""Zuid-Limburg (CR)"";""Zuidoost-Friesland (CR)"";23"
"2011;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";37"
"2012;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";29"
"2013;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";30"
"2014;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";25"
"2015;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";51"
"2016;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";304"
"2017;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";582"
"2018;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";71"
"2019;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";34"
"2020;""Zuid-Limburg (CR)"";""Noord-Drenthe (CR)"";26"
"2011;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";44"
"2012;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";26"
"2013;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";14"
"2014;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";22"
"2015;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";27"
"2016;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";13"
"2017;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";33"
"2018;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";11"
"2019;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";11"
"2020;""Zuid-Limburg (CR)"";""Zuidoost-Drenthe (CR)"";38"
"2011;""Zuid-Limburg (CR)"";""Zuidwest-Drenthe (CR)"";21"
"2012;""Zuid-Limburg (CR)"";""Zuidwest-Drenthe (CR)"";24"
"2013;""Zuid-Limburg (CR)"";""Zuidwest-Drenthe (CR)"";21"
"2014;""Zuid-Limburg (CR)"";""Zuidwest-Drenthe (CR)"";15"
"2015;""Zuid-Limburg (CR)"";""Zuidwest-Drenthe (CR)"";19"
