"Perioden;""Regio van vestiging"";""Regio van vertrek"";""Tussen gemeenten verhuisde personen (aantal)"""
"2014;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";14"
"2015;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";38"
"2016;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";23"
"2017;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";28"
"2018;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";34"
"2019;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";33"
"2020;""Oost-Groningen (CR)"";""Agglomeratie Leiden en Bollenstreek (CR)"";51"
"2011;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";66"
"2012;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";56"
"2013;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";39"
"2014;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";44"
"2015;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";75"
"2016;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";43"
"2017;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";90"
"2018;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";56"
"2019;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";85"
"2020;""Oost-Groningen (CR)"";""Agglomeratie 's-Gravenhage (CR)"";111"
"2011;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";14"
"2012;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";15"
"2013;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";4"
"2014;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";3"
"2015;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";8"
"2016;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";15"
"2017;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";16"
"2018;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";7"
"2019;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";18"
"2020;""Oost-Groningen (CR)"";""Delft en Westland (CR)"";18"
"2011;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";25"
"2012;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";25"
"2013;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";19"
"2014;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";10"
"2015;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";17"
"2016;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";22"
"2017;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";10"
"2018;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";39"
"2019;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";24"
"2020;""Oost-Groningen (CR)"";""Oost-Zuid-Holland (CR)"";21"
"2011;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";70"
"2012;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";63"
"2013;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";78"
"2014;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";61"
"2015;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";72"
"2016;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";89"
"2017;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";94"
"2018;""Oost-Groningen (CR)"";""Groot-Rijnmond (CR)"";93"
