"ID;""RegioVanVestiging"";""RegioVanVertrek"";""Perioden"";""TussenGemeentenVerhuisdePersonen_1"""
"66797;""CR01  "";""CR37  "";""2016JJ00"";""       9"""
"66798;""CR01  "";""CR37  "";""2017JJ00"";""       3"""
"66799;""CR01  "";""CR37  "";""2018JJ00"";""      10"""
"66800;""CR01  "";""CR38  "";""2011JJ00"";""      28"""
"66801;""CR01  "";""CR38  "";""2012JJ00"";""      21"""
"66802;""CR01  "";""CR38  "";""2013JJ00"";""      19"""
"66803;""CR01  "";""CR38  "";""2014JJ00"";""       9"""
"66804;""CR01  "";""CR38  "";""2015JJ00"";""       8"""
"66805;""CR01  "";""CR38  "";""2016JJ00"";""      19"""
"66806;""CR01  "";""CR38  "";""2017JJ00"";""       6"""
"66807;""CR01  "";""CR38  "";""2018JJ00"";""      13"""
"66808;""CR01  "";""CR39  "";""2011JJ00"";""      42"""
"66809;""CR01  "";""CR39  "";""2012JJ00"";""      26"""
"66810;""CR01  "";""CR39  "";""2013JJ00"";""      24"""
"66811;""CR01  "";""CR39  "";""2014JJ00"";""      23"""
"66812;""CR01  "";""CR39  "";""2015JJ00"";""      23"""
"66813;""CR01  "";""CR39  "";""2016JJ00"";""      31"""
"66814;""CR01  "";""CR39  "";""2017JJ00"";""      34"""
"66815;""CR01  "";""CR39  "";""2018JJ00"";""      11"""
"66816;""CR01  "";""CR40  "";""2011JJ00"";""      72"""
"66817;""CR01  "";""CR40  "";""2012JJ00"";""      97"""
"66818;""CR01  "";""CR40  "";""2013JJ00"";""      89"""
"66819;""CR01  "";""CR40  "";""2014JJ00"";""      99"""
"66820;""CR01  "";""CR40  "";""2015JJ00"";""      63"""
"66821;""CR01  "";""CR40  "";""2016JJ00"";""      71"""
"66822;""CR01  "";""CR40  "";""2017JJ00"";""      75"""
"66823;""CR01  "";""CR40  "";""2018JJ00"";""      94"""
"70408;""CR02  "";""CR01  "";""2011JJ00"";""     169"""
"70409;""CR02  "";""CR01  "";""2012JJ00"";""     190"""
"70410;""CR02  "";""CR01  "";""2013JJ00"";""     134"""
"70411;""CR02  "";""CR01  "";""2014JJ00"";""     181"""
"70412;""CR02  "";""CR01  "";""2015JJ00"";""     304"""
"70413;""CR02  "";""CR01  "";""2016JJ00"";""     344"""
"70414;""CR02  "";""CR01  "";""2017JJ00"";""     286"""
