from_id,to_id,from,to,jobs,distance
9,30,Zuidwest-Drenthe (CR),Zuidoost-Zuid-Holland (CR),0.1,167.9
9,33,Zuidwest-Drenthe (CR),West-Noord-Brabant (CR),0.1,193.8
9,35,Zuidwest-Drenthe (CR),Noordoost-Noord-Brabant (CR),0.1,154.8
9,36,Zuidwest-Drenthe (CR),Zuidoost-Noord-Brabant (CR),0.1,177
9,39,Zuidwest-Drenthe (CR),Zuid-Limburg (CR),0.1,232.9
10,1,Noord-Overijssel (CR),Oost-Groningen (CR),0.1,84.5
10,2,Noord-Overijssel (CR),Delfzijl en omgeving (CR),0.1,111
10,18,Noord-Overijssel (CR),Kop van Noord-Holland (CR),0.1,106.7
10,19,Noord-Overijssel (CR),Alkmaar en omgeving (CR),0.1,123.3
10,20,Noord-Overijssel (CR),IJmond (CR),0.1,131.1
10,21,Noord-Overijssel (CR),Agglomeratie Haarlem (CR),0.1,122.3
10,32,Noord-Overijssel (CR),Overig Zeeland (CR),0.1,237.5
10,38,Noord-Overijssel (CR),Midden-Limburg (CR),0.1,177.8
11,4,Zuidwest-Overijssel (CR),Noord-Friesland (CR),0.1,120.8
11,5,Zuidwest-Overijssel (CR),Zuidwest-Friesland (CR),0.1,93.4
11,6,Zuidwest-Overijssel (CR),Zuidoost-Friesland (CR),0.1,91.3
11,7,Zuidwest-Overijssel (CR),Noord-Drenthe (CR),0.1,80
11,8,Zuidwest-Overijssel (CR),Zuidoost-Drenthe (CR),0.1,70.4
11,16,Zuidwest-Overijssel (CR),Zuidwest-Gelderland (CR),0.1,87.5
11,28,Zuidwest-Overijssel (CR),Oost-Zuid-Holland (CR),0.1,121
11,30,Zuidwest-Overijssel (CR),Zuidoost-Zuid-Holland (CR),0.1,128
11,33,Zuidwest-Overijssel (CR),West-Noord-Brabant (CR),0.1,148.5
11,34,Zuidwest-Overijssel (CR),Midden-Noord-Brabant (CR),0.1,132.4
12,2,Twente (CR),Delfzijl en omgeving (CR),0.1,139.4
12,5,Twente (CR),Zuidwest-Friesland (CR),0.1,122.5
12,20,Twente (CR),IJmond (CR),0.1,170.5
12,21,Twente (CR),Agglomeratie Haarlem (CR),0.1,163.7
12,27,Twente (CR),Delft en Westland (CR),0.1,191.4
12,38,Twente (CR),Midden-Limburg (CR),0.1,174.9
13,1,Veluwe (CR),Oost-Groningen (CR),0.1,138.9
13,19,Veluwe (CR),Alkmaar en omgeving (CR),0.1,108.4
13,20,Veluwe (CR),IJmond (CR),0.1,97
14,3,Achterhoek (CR),Overig Groningen (CR),0.1,144.1
14,4,Achterhoek (CR),Noord-Friesland (CR),0.1,156.7
14,6,Achterhoek (CR),Zuidoost-Friesland (CR),0.1,126.2
14,7,Achterhoek (CR),Noord-Drenthe (CR),0.1,111.1
14,8,Achterhoek (CR),Zuidoost-Drenthe (CR),0.1,101.9
